Date,Open,High,Low,Volume,Close
5/10/2023,$290 ,$291 ,$285 ,"$36,935,000 ",$289 
5/9/2023,$289 ,$290 ,$285 ,"$31,486,950 ",$286 
5/8/2023,$285 ,$292 ,$284 ,"$34,497,890 ",$292 
5/5/2023,$278 ,$288 ,$277 ,"$36,149,410 ",$287 
5/4/2023,$277 ,$279 ,$272 ,"$32,185,040 ",$276 
5/3/2023,$278 ,$284 ,$275 ,"$38,338,740 ",$278 
5/2/2023,$287 ,$288 ,$281 ,"$40,272,960 ",$282 
5/1/2023,$278 ,$291 ,$278 ,"$57,032,850 ",$289 
4/28/2023,$272 ,$278 ,$271 ,"$29,221,610 ",$277 
4/27/2023,$274 ,$275 ,$266 ,"$37,716,120 ",$272 
4/26/2023,$270 ,$273 ,$267 ,"$40,633,680 ",$270 
4/25/2023,$271 ,$272 ,$262 ,"$37,852,720 ",$262 
4/24/2023,$270 ,$274 ,$267 ,"$33,928,190 ",$270 
4/21/2023,$270 ,$272 ,$267 ,"$34,510,280 ",$271 
4/20/2023,$277 ,$280 ,$270 ,"$42,771,330 ",$271 
4/19/2023,$274 ,$280 ,$272 ,"$35,866,040 ",$279 
4/18/2023,$275 ,$281 ,$274 ,"$60,481,150 ",$277 
4/17/2023,$266 ,$270 ,$264 ,"$32,147,130 ",$270 
4/14/2023,$265 ,$269 ,$262 ,"$39,566,010 ",$268 
4/13/2023,$267 ,$269 ,$263 ,"$35,361,530 ",$265 
4/12/2023,$274 ,$275 ,$264 ,"$44,625,900 ",$265 
4/11/2023,$277 ,$278 ,$271 ,"$31,437,820 ",$272 
4/10/2023,$268 ,$276 ,$267 ,"$39,527,860 ",$276 
4/6/2023,$266 ,$271 ,$264 ,"$39,765,430 ",$270 
4/5/2023,$268 ,$270 ,$264 ,"$51,501,470 ",$269 
4/4/2023,$280 ,$280 ,$273 ,"$36,859,150 ",$275 
4/3/2023,$275 ,$280 ,$273 ,"$39,871,560 ",$280 
3/31/2023,$271 ,$278 ,$271 ,"$43,393,280 ",$278 
3/30/2023,$272 ,$275 ,$271 ,"$36,451,570 ",$274 
3/29/2023,$268 ,$271 ,$266 ,"$39,369,390 ",$270 
3/28/2023,$264 ,$265 ,$259 ,"$35,610,380 ",$264 
3/27/2023,$268 ,$270 ,$264 ,"$36,102,570 ",$265 
3/24/2023,$270 ,$272 ,$264 ,"$45,541,410 ",$268 
3/23/2023,$271 ,$275 ,$267 ,"$56,488,880 ",$272 
3/22/2023,$264 ,$276 ,$262 ,"$79,729,510 ",$265 
3/21/2023,$262 ,$264 ,$254 ,"$54,740,780 ",$262 
3/20/2023,$256 ,$260 ,$251 ,"$43,274,720 ",$259 
3/17/2023,$260 ,$264 ,$257 ,"$84,854,660 ",$257 
3/16/2023,$240 ,$256 ,$239 ,"$58,494,630 ",$255 
3/15/2023,$238 ,$243 ,$234 ,"$52,448,570 ",$242 
3/14/2023,$235 ,$242 ,$235 ,"$47,491,010 ",$241 
3/13/2023,$228 ,$233 ,$223 ,"$42,189,030 ",$230 
3/10/2023,$234 ,$236 ,$227 ,"$47,486,570 ",$230 
3/9/2023,$242 ,$245 ,$234 ,"$50,125,700 ",$234 
3/8/2023,$235 ,$242 ,$234 ,"$51,357,340 ",$242 
3/7/2023,$236 ,$241 ,$232 ,"$51,515,390 ",$233 
3/6/2023,$239 ,$242 ,$235 ,"$43,742,920 ",$236 
3/3/2023,$233 ,$239 ,$231 ,"$41,239,330 ",$239 
3/2/2023,$225 ,$234 ,$224 ,"$39,007,470 ",$233 
3/1/2023,$232 ,$233 ,$225 ,"$46,002,560 ",$227 
2/28/2023,$234 ,$238 ,$232 ,"$45,596,280 ",$232 
2/27/2023,$237 ,$239 ,$235 ,"$45,299,370 ",$235 
2/24/2023,$232 ,$235 ,$229 ,"$58,971,590 ",$233 
2/23/2023,$234 ,$239 ,$230 ,"$111,799,500 ",$237 
2/22/2023,$207 ,$211 ,$204 ,"$51,318,430 ",$208 
2/21/2023,$210 ,$215 ,$206 ,"$41,001,460 ",$207 
2/17/2023,$216 ,$217 ,$210 ,"$46,588,760 ",$214 
2/16/2023,$221 ,$226 ,$219 ,"$41,202,630 ",$220 
2/15/2023,$225 ,$229 ,$221 ,"$42,118,830 ",$228 
2/14/2023,$216 ,$230 ,$214 ,"$67,547,350 ",$230 
2/13/2023,$215 ,$220 ,$210 ,"$47,491,860 ",$218 
2/10/2023,$217 ,$221 ,$208 ,"$55,073,680 ",$213 
2/9/2023,$226 ,$230 ,$221 ,"$52,387,580 ",$223 
2/8/2023,$224 ,$229 ,$220 ,"$55,965,120 ",$222 
2/7/2023,$214 ,$223 ,$212 ,"$66,414,960 ",$222 
2/6/2023,$208 ,$216 ,$208 ,"$45,219,710 ",$211 
2/3/2023,$210 ,$217 ,$208 ,"$42,936,600 ",$211 
2/2/2023,$210 ,$219 ,$207 ,"$56,427,580 ",$217 
